['88:31.222', '2:48.765', '3:45.042', '6:18.489', '3:21.519', '7:18.314', '1:48.362', '3:15.295', '6:05.27', '5:31.467', '6:02.045', '4:32.571', '9:27.712', '3:35.845', '7:48.139', '7:04.682', '9:47.705']
['92:10.589', '2:49.044', '4:28.478', '7:06.528', '3:13.615', '8:09.459', '2:19.348', '4:05.752', '4:43.99', '5:39.937', '6:29.968', '4:14.866', '13:39.654', '3:45.699', '7:18.666', '6:05.002', '8:00.584']
['87:58.802', '2:47.532', '3:48.666', '6:24.512', '4:01.691', '7:09.694', '2:18.205', '3:36.334', '5:58.938', '5:53.288', '6:10.096', '4:52.058', '10:11.071', '3:32.684', '6:26.787', '6:36.715', '8:10.531']
['93:41.706', '2:50.83', '4:06.046', '6:20.915', '3:15.113', '7:32.901', '2:02.287', '3:59.918', '5:05.461', '5:30.714', '6:10.622', '4:15.557', '11:34.729', '5:21.281', '7:43.514', '9:18.694', '8:33.124']
['95:15.608', '2:38.842', '4:22.085', '6:15.428', '3:28.637', '7:16.244', '2:03.901', '5:06.837', '5:13.335', '5:26.207', '5:56.169', '4:27.965', '11:22.669', '3:33.256', '7:24.555', '10:43.248', '9:56.232']
['86:48.872', '3:06.032', '3:59.669', '6:16.883', '3:18.517', '7:40.659', '2:07.956', '3:37.559', '6:38.397', '5:50.624', '6:11.672', '4:01.803', '9:44.817', '3:31.067', '7:32.557', '6:08.465', '7:02.194']
['83:31.394', '2:47.03', '3:56.493', '7:03.804', '3:20.107', '7:22.385', '1:59.307', '2:54.004', '4:51.241', '5:25.897', '6:27.967', '4:10.227', '11:06.533', '3:30.092', '6:24.471', '4:37.627', '7:34.208']
['87:45.456', '2:49.736', '3:51.056', '6:25.629', '3:29.758', '7:25.954', '2:16.483', '3:39.913', '4:31.953', '5:47.358', '6:17.685', '4:03.74', '11:18.162', '3:31.698', '7:40.858', '6:46.358', '7:49.115']
['86:01.824', '2:42.382', '3:36.759', '6:41.083', '4:44.899', '7:24.907', '1:50.188', '3:07.013', '4:16.459', '5:28.04', '5:53.793', '4:03.032', '10:05.68', '3:30.767', '6:17.759', '5:33.593', '10:45.471']
['82:53.682', '2:45.39', '3:53.801', '7:02.885', '3:21.996', '7:22.444', '1:53.374', '2:50.96', '4:41.222', '5:17.74', '6:08.063', '4:45.985', '9:35.148', '3:38.726', '5:59.909', '6:06.385', '7:29.655']
['81:55.954', '2:51.358', '3:43.95', '6:20.826', '3:20.173', '7:17.211', '2:00.258', '3:10.792', '4:00.508', '5:09.38', '6:25.399', '4:20.81', '9:33.827', '3:30.976', '6:26.336', '6:08.69', '7:35.46']
['81:39.832', '2:38.982', '3:39.429', '6:37.567', '3:16.215', '7:17.027', '2:08.317', '2:44.516', '4:33.949', '5:41.786', '5:47.694', '4:34.972', '9:51.495', '3:32.49', '6:51.661', '5:53.217', '6:30.515']
['83:33.633', '2:37.065', '3:47.696', '6:18.604', '4:23.888', '8:37.552', '2:02.224', '3:03.983', '4:15.718', '5:32.614', '6:59.937', '4:45.534', '8:53.343', '3:32.253', '6:59.394', '4:48.994', '6:54.833']
['82:39.369', '2:41.182', '3:38.361', '6:35.729', '3:28.925', '7:08.201', '1:47.782', '2:44.728', '4:22.439', '5:49.983', '6:00.873', '4:17.805', '10:24.241', '3:25.872', '6:26.417', '5:09.048', '8:37.783']
['85:44.372', '2:43.471', '3:49.253', '6:15.794', '3:26.552', '7:23.089', '1:49.265', '3:04.33', '5:11.13', '5:24.067', '5:49.329', '4:41.644', '8:55.385', '3:27.583', '7:09.584', '8:24.92', '8:08.976']
['81:15.038', '2:38.555', '3:47.235', '6:19.381', '4:00.8', '7:24.352', '2:14.214', '2:51.149', '4:23.14', '5:38.18', '5:40.495', '4:45.227', '9:52.655', '3:34.095', '6:26.122', '4:58.733', '6:40.704']
['87:01.239', '2:37.926', '3:54.062', '6:30.473', '3:30.87', '7:15.669', '1:46.817', '2:54.564', '5:47.801', '6:24.177', '6:00.624', '5:07.683', '8:48.243', '5:21.735', '7:50.365', '6:27.886', '6:42.342']
['79:34.819', '2:44.401', '3:35.806', '6:46.518', '3:53.608', '7:14.595', '1:49.756', '2:57.448', '4:07.901', '5:24.256', '6:07.455', '4:20.111', '8:13.069', '3:35.16', '6:51.861', '5:07.59', '6:45.284']
['79:44.451', '2:38.053', '3:33.1', '6:40.836', '3:26.333', '7:22.521', '1:56.039', '3:14.094', '4:36.532', '6:00.088', '5:48.476', '3:59.052', '8:16.687', '3:32.189', '6:01.105', '5:37.965', '7:01.381']
['80:16.455', '2:40.202', '3:34.19', '6:45.928', '3:25.309', '7:07.274', '2:05.924', '2:50.602', '4:01.562', '5:31.456', '5:40.678', '4:06.634', '8:42.036', '3:25.047', '7:00.925', '4:53.051', '8:24.636']
['79:01.438', '2:38.816', '3:35.984', '6:21.28', '3:50.119', '7:12.392', '1:48.994', '4:13.109', '4:53.866', '5:28.821', '6:03.298', '4:13.844', '8:17.907', '3:31.069', '5:35.578', '4:20.41', '6:55.95']
['79:28.394', '2:42.407', '3:41.502', '6:06.47', '3:18.957', '7:11.905', '1:53.778', '3:38.567', '4:34.659', '5:36.121', '5:54.088', '4:48.003', '8:45.662', '3:25.382', '6:44.276', '4:24.042', '6:42.575']
['82:50.565', '2:40.837', '3:41.69', '6:12.275', '3:30.217', '7:19.468', '1:59.466', '2:51.456', '4:43.231', '5:32.432', '5:36.536', '5:06.323', '9:33.585', '3:30.501', '5:56.467', '6:18.802', '8:17.278']
['78:59.975', '2:37.363', '3:30.624', '6:12.551', '3:44.56', '8:12.345', '1:56.318', '3:05.302', '4:31.216', '6:11.339', '5:53.581', '3:50.625', '8:52.679', '3:29.823', '5:42.146', '4:12.178', '6:57.324']
['83:27.39', '2:35.564', '3:57.028', '6:17.263', '3:18.035', '7:02.931', '1:48.944', '2:53.097', '5:27.862', '5:25.27', '6:20.586', '4:10.619', '9:02.833', '3:29.125', '6:14.891', '7:42.976', '7:40.366']
